ShortLabel,ROcc_Hus,Geo
Acworth,3230,City
Alpharetta,7938,City
Atlanta,124378,City
Austell,1115,City
Avondale Estates,270,City
Ball Ground,159,City
Berkeley Lake,23,City
Brookhaven,11413,City
Brooks,10,City
Canton,5517,City
Chamblee,7261,City
Clarkston,3245,City
College Park,4630,City
Conyers,4500,City
Cumming,1351,City
Dacula,423,City
Decatur,3129,City
Doraville,1569,City
Douglasville,7170,City
Duluth,5477,City
Dunwoody,9776,City
East Point,9308,City
Fairburn,2461,City
Fayetteville,2455,City
Forest Park,4439,City
Grayson,123,City
Hampton,650,City
Hapeville,1435,City
Holly Springs,1594,City
Johns Creek,5838,City
Jonesboro,1211,City
Kennesaw,4180,City
Lake City,472,City
Lawrenceville,5590,City
Lilburn,1876,City
Lithonia,652,City
Locust Grove,570,City
Lovejoy,1376,City
McDonough,5005,City
Marietta,12966,City
Milton,4056,City
Morrow,896,City
Mountain Park,33,City
Norcross,2850,City
Peachtree City,4023,City
Peachtree Corners,8285,City
Pine Lake,186,City
Powder Springs,1007,City
Riverdale,2815,City
Roswell,10209,City
Sandy Springs,25675,City
Smyrna,10921,City
Snellville,1378,City
South Fulton,11849,City
Stockbridge,6663,City
Stonecrest,9832,City
Stone Mountain,1197,City
Sugar Hill,1814,City
Suwanee,3066,City
Tucker,5140,City
Tyrone,239,City
Union City,6736,City
Waleska,62,City
Woodstock,4979,City
Woolsey,11,City
Mulberry,1472,City
Mableton,10004,City